Name,Display Name,Image,Description(English)
Acura_Integra_1992\Acura_Integra_1992.model,Acura Integra 1992,Acura_Integra_1992.jpg,"The second generation of the classic Japanese street tuner this features a 1.6L naturally aspirated B16A engine with VTEC."
Alfa_Romeo_8C_Competizione\Alfa_Romeo_8C_Competizione.model,Alfa Romeo 8C Competizione,Acura_Integra_1992.jpg,"This rare car (one of only 500 built) is equipped with a powerful 4.7L 450 hp V8 (the same engine as used in Maserati Quattroporte S and Granturismo S).
Audi_R8\Audi_R8.model,Audi R8,Acura_Integra_1992.jpg,Recorded onboard an amazing R8 with a 525 hp V10 engine.
Chevrolet_Camaro_SS\Chevrolet_Camaro_SS.model,Chevrolet Camaro SS,Acura_Integra_1992.jpg,This modern remake of the classic muscle car features a massive 426 hp 6.2L V8.
Dodge_Challenger_Sixpack_1970\Dodge_Challenger_Sixpack_1970.model,Dodge Challenger 440 Six Pack 1970,Acura_Integra_1992.jpg,A classic big block muscle car with a 440 “Six Pack” engine (three two-barrel Holley carbs).
Dodge_Challenger_Sixpack_1970\Dodge_Challenger_Sixpack_1970_v2.model,Dodge Challenger 440 Six Pack 1970 v2,Acura_Integra_1992.jpg,remix
Chevrolet_Corvette_Z06_2006\Chevrolet_Corvette_Z06_2006.model,Chevrolet Corvette Z06 2006,Acura_Integra_1992.jpg,"With the LS7 7.0L engine under the hood this was the fastest Corvette ever - back in the old days of 2006."
Chevrolet_Corvette_Z06_2006\Chevrolet_Corvette_Z06_2006_v2.model,Chevrolet Corvette Z06 2006 v2,Acura_Integra_1992.jpg,remix
Ford_RS200\Ford_RS200.model,Ford RS200,Acura_Integra_1992.jpg,A Group B rally car with a very fast mid engine mounted 1.8L Inline 4.
Honda_Civic\Honda_Civic.model,Honda Civic,Acura_Integra_1992.jpg,"Not your mom’s grocery getter this Civic would burn up the Whole Foods parking lot."
Honda_NSX_1991\Honda_NSX_1991.model,Honda NSX 1991,Acura_Integra_1992.jpg,"The Japanese supercar classic it pushes its 280 hp 3.0L V6 to an 8000 RPM redline."
Pontiac_Grand_Prix\Pontiac_Grand_Prix.model,Pontiac Grand Prix,Acura_Integra_1992.jpg,"This mysterious car has murky past but it sounds like a beast and is sure to intimidate your rivals."
Pontiac_Grand_Prix\Pontiac_GrandPrix2.model,,,
Porsche_997\Porsche_997.model,Porsche 997,Acura_Integra_1992.jpg,"a.k.a the 911 this has the distinctive flat-6 sound of the preeminent German sports car."
Volkswagen_Golf_VR6_2004\Volkswagen_Golf_VR6_2004.model,Volkswagen Golf VR6 2004,Acura_Integra_1992.jpg,"Featuring a rich powerful sound from the staggered six cylinder configuration and aftermarket exhaust."
DeTomaso_Pantera\De_Tomaso_Pantera.model,De Tomaso Pantera,Acura_Integra_1992.jpg,"A sleek Italian sports coupe from 1972. Elvis had one of these and he shot it (probably jealous). This one has had the original 351 Cleveland replaced with a  BMW Alpina B10 V8."
Mazda_RX8_2006\Mazda_RX8_2006.model,Mazda RX8 2006,Acura_Integra_1992.jpg,"The rotary engine aftermarket exhaust and high revs give this car a signature sound all its own."
Mazda_RX8_2006\Mazda_RX8_2006_v2.model,Mazda RX8 2006,Acura_Integra_1992.jpg,
Ferrari_430\Ferrari_430.model,Ferrari 430,Acura_Integra_1992.jpg,"The successor to the much-loved 360 this Italian sports car contains a mid engine 4.3L V8 that produces the classic Ferrari howl."
Ford_Mustang\Ford_Mustang.model,Ford Mustang,Acura_Integra_1992.jpg,"A modern take on classic American muscle; more refined than it's predeccesor but still a powerful contender."
Dodge_Viper\Dodge_Viper.model,Dodge Viper,Acura_Integra_1992.jpg,The big V10 truck motor gives this muscle car its distinctive growl. 
Nissan_370z\Nissan_370z.model,Nissan 370Z,Acura_Integra_1992.jpg,"The heir to ther throne of the extremely popular 350Z this Nissan has updated styling and more imprtantly more horsepower."
Chevrolet_Camaro_Super_Hugger\Chevrolet_Camaro_Super_Hugger.model,Chevrolet Camaro Super Hugger 1970,Acura_Integra_1992.jpg,"The second generation Camaro introduced in 1970 as a car for people who ""really dig driving"". Your cousin had one and if you were lucky he picked you up in it after school to go get a soda."
Ferrari_575M\Ferrari_575M.model,Ferrari 575M,Acura_Integra_1992.jpg,"The ""Maranello"" has a big V12 and screams like a banshee. It's a sure bet that Magnum PI would have driven this Ferrari if only his show had come out 2o years later."
Toyota_GT86\Toyota_GT86.model,Toyota GT86,Acura_Integra_1992.jpg,"Three cars in one (depending where you live)! This is also known as the Subaru BRZ and the Scion FR-S. But really you can't ignore the proud Japanese lineage of this Hachi-Roku racer which is said to be the spiritual successor to the AE86."
Triumph_Bonneville\Triumph_Bonneville.model,Triumph Bonneville MC,Acura_Integra_1992.jpg,You can call this bike 'Bonnie' - a great classic British road bike. Cheerio.
Toyota_Supra\Toyota_Supra.model,Toyota Supra,Acura_Integra_1992.jpg,This turn of the millenium tuner car is has a smooth purr that hides a whole lot of raw power.
Range_Rover\Range_Rover.model,Range Rover,Acura_Integra_1992.jpg,"Great for dangerous back country expeditions and/or getting your kid to soccer practice in style there's no denying this SUV's great style and satisfying growl."
Nissan_GT-R_Skyline\Nissan_GT-R_Skyline.model,Nissan GT-R Skyline,Acura_Integra_1992.jpg,"Made really famous by that movie with people driving quick cars in an angry fashion the Skyline was developed in Japan as a touring race car and has since become an iconic track car all over the World. This car is a third generation model revived in 1989 after a 10 year hiatus."
Lincoln_Navigator\Lincoln_Navigator.model,Lincoln Navigator,Acura_Integra_1992.jpg,"The best way to get to the club with your entourage this big V8 has a refined roar."
Honda_CBR1100XX_Super_Blackbird_MC\Honda_CBR1100XX_Super_Blackbird_MC.model,Honda CBR 1100XX Super Blackbird MC,Acura_Integra_1992.jpg,"Named after the Lockheed SR-71 Blackbird (look it up cool plane!) this street bike held the title of world's fastest production motorcycle for two years when it hit a top speed of 178.5 mph."
Ford_Puma_S1600\Ford_Puma_S1600.model,Ford Puma S1600 Rally Car,Acura_Integra_1992.jpg,"This German-built Ford was purpose built for the demands of rallying; in unrelated news it also bears a striking resemblance to a kittycat. Oh Puma! I get it."
Ferrari_488_GTB\Ferrari_488_GTB.model,Ferrari 488 GTB,Acura_Integra_1992.jpg,660 horsepower. I mean.. that seems a little excessive guys. You could definitely pull a lot of wagons with this supercar.
Chevrolet_Chevelle_350_1970\Chevrolet_Chevelle_350_1970.model,Chevrolet Chevelle 350 1970,Acura_Integra_1992.jpg,A quintessential American muscle car and a true King of the Streets. Such a popular body style that even Jack Reacher drives one!
BMW_740i\BMW_740i.model,BMW 740i,Acura_Integra_1992.jpg,A custom Magnoflow exhaust gives this Bavarian Beast a little blaze in it's bauch,Yamaha MX,,
